Len train loader: 21
Len eval loader: 5
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
5 12 	| 2.3529 	| 0.3438
5 13 	| 2.3855 	| 0.1875
5 14 	| 2.191 	| 0.3125
5 15 	| 2.0761 	| 0.3438
5 16 	| 2.607 	| 0.25
5 17 	| 2.111 	| 0.25
5 18 	| 2.318 	| 0.1562

Epoch:  60%|███████████████████████████████████████████████████████████████▌                                          | 6/10 [04:05<02:43, 40.81s/it]
5 20 	| 1.9329 	| 0.3125
Val mae km: 9186.14408189469  | Mean val loss: 4.306136846542358
6 0 	| 1.8366 	| 0.3438
6 1 	| 1.7512 	| 0.2812
6 2 	| 1.7708 	| 0.4062
6 3 	| 1.6501 	| 0.4688
6 4 	| 1.7741 	| 0.4688
6 5 	| 1.9445 	| 0.4688
6 6 	| 1.9494 	| 0.3125
6 7 	| 2.082 	| 0.3125
6 8 	| 2.2289 	| 0.1875
6 9 	| 1.9805 	| 0.4062
6 10 	| 1.7437 	| 0.4062
6 11 	| 1.6922 	| 0.375
6 12 	| 1.7691 	| 0.4688
6 13 	| 1.3382 	| 0.5625
6 14 	| 1.6341 	| 0.5312
6 15 	| 1.9703 	| 0.375
6 16 	| 1.6388 	| 0.375
6 17 	| 2.2576 	| 0.25
6 18 	| 2.1293 	| 0.3125

Epoch:  70%|██████████████████████████████████████████████████████████████████████████▏                               | 7/10 [04:45<02:02, 40.71s/it]
6 20 	| 1.2747 	| 0.5
Val mae km: 8434.0776675708  | Mean val loss: 3.993536949157715
7 0 	| 1.5976 	| 0.4375
7 1 	| 1.1176 	| 0.5938
7 2 	| 1.4732 	| 0.4062
7 3 	| 1.1803 	| 0.5625
7 4 	| 1.1096 	| 0.625
7 5 	| 1.7213 	| 0.5312
7 6 	| 1.1145 	| 0.7188
7 7 	| 1.26 	| 0.5625
7 8 	| 1.4784 	| 0.375
7 9 	| 1.5408 	| 0.5938
7 10 	| 1.2069 	| 0.5
7 11 	| 1.2201 	| 0.5938
7 12 	| 1.1155 	| 0.5
7 13 	| 1.7953 	| 0.5312
7 14 	| 1.7031 	| 0.4688
7 15 	| 1.369 	| 0.5625
7 16 	| 1.6677 	| 0.4688
7 17 	| 1.4837 	| 0.4375

Epoch:  80%|████████████████████████████████████████████████████████████████████████████████████▊                     | 8/10 [05:26<01:21, 40.66s/it]
7 19 	| 1.5204 	| 0.5
7 20 	| 1.3802 	| 0.4688
Val mae km: 8470.082686391817  | Mean val loss: 4.6375452995300295
8 0 	| 0.7665 	| 0.8438
8 1 	| 0.7647 	| 0.8438
8 2 	| 0.7309 	| 0.75
8 3 	| 0.8063 	| 0.75
8 4 	| 0.7185 	| 0.75
8 5 	| 0.9424 	| 0.6562
8 6 	| 0.7231 	| 0.6875
8 7 	| 0.7706 	| 0.625
8 8 	| 0.9605 	| 0.75
8 9 	| 1.1358 	| 0.6562
8 10 	| 0.8431 	| 0.7188
8 11 	| 1.0443 	| 0.6562
8 12 	| 0.9878 	| 0.6875
8 13 	| 1.0799 	| 0.625
8 14 	| 1.1114 	| 0.5625
8 15 	| 1.0934 	| 0.7188
8 16 	| 0.9287 	| 0.7188
8 17 	| 1.209 	| 0.625
8 18 	| 0.7506 	| 0.7812

Epoch:  90%|███████████████████████████████████████████████████████████████████████████████████████████████▍          | 9/10 [06:07<00:40, 40.93s/it]
8 20 	| 0.833 	| 0.7188
Val mae km: 9270.65782391539  | Mean val loss: 5.2256464004516605
9 0 	| 0.3164 	| 0.875
9 1 	| 0.6082 	| 0.8438
9 2 	| 0.6413 	| 0.8125
9 3 	| 0.4111 	| 0.8438
9 4 	| 0.8332 	| 0.7812
9 5 	| 0.5384 	| 0.7812
9 6 	| 0.5829 	| 0.7812
9 7 	| 0.6222 	| 0.7812
9 8 	| 0.3598 	| 0.8438
9 9 	| 0.4376 	| 0.8438
9 10 	| 0.8527 	| 0.75
9 11 	| 0.4895 	| 0.9375
9 12 	| 0.5583 	| 0.8125
9 13 	| 0.4921 	| 0.75
9 14 	| 0.574 	| 0.75
9 15 	| 0.5958 	| 0.8125
9 16 	| 0.2276 	| 0.9375
9 17 	| 0.6798 	| 0.7812
9 18 	| 0.6937 	| 0.8125

Epoch: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████| 10/10 [06:49<00:00, 40.92s/it]
9 20 	| 0.2407 	| 0.9688
eval mae km: [8730.285161918755, 9423.347764019316, 8389.929954993007, 10252.388023526537, 8883.558827363802, 9147.954051251392, 9186.14408189469, 8434.0776675708, 8470.082686391817, 9270.65782391539]
eval losses: [2.774327611923218, 2.708370876312256, 2.770744562149048, 3.017567682266235, 4.966970157623291, 3.751192903518677, 4.306136846542358, 3.993536949157715, 4.6375452995300295, 5.2256464004516605]
