
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 86 	| 2.0956 	| 0.2188 	| tensor([ 5,  4,  3,  3,  9, 10,  0,  3,  3,  4], device='cuda:0')
0 87 	| 1.6885 	| 0.4062 	| tensor([12, 10,  3, 11,  0,  6,  2, 10,  4,  5], device='cuda:0')
0 88 	| 2.1685 	| 0.1875 	| tensor([12,  4,  5,  2,  3, 11,  7,  6,  6,  6], device='cuda:0')
0 89 	| 1.5459 	| 0.4062 	| tensor([ 4,  8,  4,  0,  2,  3, 10,  0,  3, 14], device='cuda:0')
0 90 	| 1.9641 	| 0.4375 	| tensor([ 0, 11,  0,  4, 11,  2,  0,  0,  4,  6], device='cuda:0')
0 91 	| 1.8429 	| 0.375 	| tensor([11, 12,  8,  6,  6,  9, 13, 10, 10,  2], device='cuda:0')
0 92 	| 2.4718 	| 0.125 	| tensor([ 0,  6, 12, 10,  6, 10,  8,  6, 10,  2], device='cuda:0')
0 93 	| 1.9121 	| 0.3125 	| tensor([ 0,  7, 11,  8,  8,  3,  0,  2,  3, 14], device='cuda:0')
0 94 	| 1.8744 	| 0.3125 	| tensor([ 6, 11,  4, 14, 10,  2,  8, 14,  0,  6], device='cuda:0')
0 95 	| 2.454 	| 0.1875 	| tensor([ 3,  6,  7, 11,  6, 14,  8, 10, 10,  5], device='cuda:0')
0 96 	| 1.9132 	| 0.25 	| tensor([ 6,  8,  8, 11, 10, 11,  8,  0, 11, 10], device='cuda:0')
0 97 	| 2.2254 	| 0.2812 	| tensor([ 2,  7,  6, 13,  5,  6, 10,  5, 10, 10], device='cuda:0')
0 98 	| 2.1429 	| 0.25 	| tensor([ 6, 10,  3,  2, 13, 10, 10,  3,  8, 11], device='cuda:0')
0 99 	| 1.8274 	| 0.4375 	| tensor([ 6, 10, 13, 10, 10,  2, 11,  6,  5,  1], device='cuda:0')
0 100 	| 1.1682 	| 0.625 	| tensor([10, 13, 10, 13, 10, 13,  1,  1,  0, 11], device='cuda:0')
0 101 	| 1.4854 	| 0.625 	| tensor([ 3, 13, 10,  6,  0,  8, 10,  3, 10,  7], device='cuda:0')
0 102 	| 2.1963 	| 0.3125 	| tensor([11,  8,  7,  2,  4,  1, 12, 10,  1, 10], device='cuda:0')
0 103 	| 1.9362 	| 0.3438 	| tensor([11, 11,  1, 11,  3,  4, 13,  5,  7,  5], device='cuda:0')
0 104 	| 2.1062 	| 0.3125 	| tensor([ 8,  5, 13,  2,  0, 11,  2, 10,  4, 10], device='cuda:0')
0 105 	| 2.1097 	| 0.25 	| tensor([13, 10,  0, 10,  6,  6,  4,  8,  4,  7], device='cuda:0')
0 106 	| 2.0912 	| 0.25 	| tensor([ 7,  4, 10, 12,  7,  6,  0, 13, 13, 11], device='cuda:0')
0 107 	| 1.854 	| 0.3125 	| tensor([ 5,  4, 10, 11, 10, 11,  3, 11,  3, 12], device='cuda:0')
0 108 	| 2.264 	| 0.3125 	| tensor([13, 10, 10,  4, 14,  2,  1,  3,  4, 12], device='cuda:0')
0 109 	| 1.99 	| 0.2812 	| tensor([ 4,  2, 13,  8,  1, 10,  8,  5,  3,  7], device='cuda:0')
0 110 	| 1.7488 	| 0.375 	| tensor([ 2,  5, 12,  6,  3,  0,  5,  4,  1,  5], device='cuda:0')
0 111 	| 1.42 	| 0.4688 	| tensor([11,  5,  6, 10, 10,  3, 11, 13, 12,  3], device='cuda:0')
0 112 	| 2.3942 	| 0.1875 	| tensor([ 6, 10,  6,  7,  7, 11,  5,  4,  0, 14], device='cuda:0')
0 113 	| 1.5934 	| 0.3438 	| tensor([ 8,  4,  7, 10,  3, 12,  1,  8, 14,  6], device='cuda:0')
0 114 	| 1.7791 	| 0.375 	| tensor([ 5,  8,  8, 12,  6,  5,  6, 10,  8,  1], device='cuda:0')
0 115 	| 1.6902 	| 0.375 	| tensor([ 8,  8, 14,  8,  1,  1, 10,  6,  6,  8], device='cuda:0')
0 116 	| 1.7969 	| 0.3125 	| tensor([ 6,  3,  0,  1,  8,  7,  5,  0,  7, 11], device='cuda:0')
0 117 	| 1.8689 	| 0.2812 	| tensor([ 1, 13,  3,  7,  5,  8,  0,  5,  6,  4], device='cuda:0')
0 118 	| 1.8402 	| 0.3438 	| tensor([14, 11, 13,  6, 14, 10, 10,  5,  9, 14], device='cuda:0')
0 119 	| 2.1291 	| 0.3125 	| tensor([ 6,  5,  7,  6,  7,  1, 12, 13, 12,  5], device='cuda:0')
0 120 	| 1.9351 	| 0.2812 	| tensor([ 3,  7,  0,  5,  3,  9, 11,  8,  1,  1], device='cuda:0')
0 121 	| 2.0905 	| 0.4062 	| tensor([ 1, 13,  5,  8, 13,  8,  8, 10,  1,  1], device='cuda:0')
0 122 	| 1.6948 	| 0.4375 	| tensor([10, 12,  3,  5,  2,  0,  0, 13,  3,  1], device='cuda:0')
0 123 	| 1.8007 	| 0.4062 	| tensor([ 0,  3, 12, 14,  2, 12,  1,  5, 13, 13], device='cuda:0')
0 124 	| 1.7333 	| 0.4062 	| tensor([ 8,  7,  5, 14,  7, 12,  8,  5,  5, 14], device='cuda:0')
0 125 	| 2.269 	| 0.3125 	| tensor([ 8,  5,  5,  7, 10, 10,  5, 12, 13,  1], device='cuda:0')
0 126 	| 1.7778 	| 0.3438 	| tensor([ 7,  8,  4, 12,  6,  9,  8, 10, 10,  9], device='cuda:0')
0 127 	| 2.385 	| 0.2812 	| tensor([ 1,  5, 12,  7,  3,  8, 11,  7,  5,  1], device='cuda:0')
0 128 	| 1.7442 	| 0.4375 	| tensor([ 3,  4,  7,  1,  8,  1, 10,  5,  3, 13], device='cuda:0')
0 129 	| 1.8816 	| 0.25 	| tensor([ 4,  0,  5, 11,  8,  5,  3,  4,  1,  5], device='cuda:0')
