
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 69 	| 2.0791 	| 0.3125 	| tensor([10,  0,  0, 13, 14,  0,  0, 10, 11,  1], device='cuda:0')
0 70 	| 2.2501 	| 0.3438 	| tensor([ 8, 13, 14,  7, 13, 13,  2,  8,  3,  7], device='cuda:0')
0 71 	| 2.0673 	| 0.3125 	| tensor([12,  1,  6,  6,  0,  4, 13,  6, 14, 11], device='cuda:0')
0 72 	| 1.7505 	| 0.375 	| tensor([ 6,  6, 14, 14,  5, 13,  9, 13, 10,  0], device='cuda:0')
0 73 	| 1.9057 	| 0.3125 	| tensor([11, 14, 10, 11,  7,  0,  8,  9,  7,  1], device='cuda:0')
0 74 	| 2.4319 	| 0.25 	| tensor([ 9,  4,  0,  0,  8,  3,  1, 11,  2, 11], device='cuda:0')
0 75 	| 2.1891 	| 0.3438 	| tensor([ 2, 11,  0,  9,  7,  1,  9,  9,  5, 14], device='cuda:0')
0 76 	| 1.9435 	| 0.3438 	| tensor([ 1, 11, 10, 12,  2, 10,  6,  0,  2,  0], device='cuda:0')
0 77 	| 2.047 	| 0.3438 	| tensor([ 8, 11, 14,  2, 12,  6,  6,  8, 13,  2], device='cuda:0')
0 78 	| 2.0012 	| 0.25 	| tensor([12, 10,  2, 14,  2, 10, 13,  8,  7, 12], device='cuda:0')
0 79 	| 1.8212 	| 0.5312 	| tensor([ 9,  5,  2,  9, 12,  6,  1,  0, 12,  6], device='cuda:0')
0 80 	| 1.8093 	| 0.3438 	| tensor([ 5, 12, 10,  8,  4,  5,  8,  8, 10, 14], device='cuda:0')
0 81 	| 1.9055 	| 0.4375 	| tensor([ 8,  5,  6, 10,  8,  3,  8,  4,  9,  5], device='cuda:0')
0 82 	| 1.7976 	| 0.4375 	| tensor([ 2, 12, 12,  3,  6,  6, 12, 14,  8,  8], device='cuda:0')
0 83 	| 2.1964 	| 0.2812 	| tensor([10,  2,  2,  9,  4,  7,  2,  9,  5,  6], device='cuda:0')
