
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
0 141 	| 1.5471 	| 2.1808 	| 0.0685 	| 0.25
0 142 	| 1.4246 	| 2.0173 	| 0.0418 	| 0.4062
0 143 	| 1.6572 	| 2.3485 	| 0.044 	| 0.4062
0 144 	| 1.0883 	| 1.541 	| 0.0319 	| 0.625
0 145 	| 1.6178 	| 2.2867 	| 0.057 	| 0.3438
0 146 	| 1.7106 	| 2.4116 	| 0.0749 	| 0.1875
0 147 	| 1.399 	| 1.9822 	| 0.0381 	| 0.3125
0 148 	| 1.4659 	| 2.0675 	| 0.062 	| 0.3125
0 149 	| 1.2298 	| 1.7366 	| 0.0473 	| 0.4375
0 150 	| 1.6758 	| 2.37 	| 0.056 	| 0.2188
0 151 	| 1.53 	| 2.1628 	| 0.0534 	| 0.2812
0 152 	| 1.5202 	| 2.1486 	| 0.0541 	| 0.2812
0 153 	| 1.2957 	| 1.8206 	| 0.0709 	| 0.4062
0 154 	| 1.3784 	| 1.9478 	| 0.0499 	| 0.3125
0 155 	| 1.3338 	| 1.849 	| 0.1318 	| 0.3125
0 156 	| 1.4108 	| 1.9865 	| 0.0675 	| 0.375
0 157 	| 1.5427 	| 2.1705 	| 0.0776 	| 0.25
0 158 	| 1.5205 	| 2.1426 	| 0.069 	| 0.375
0 159 	| 1.3869 	| 1.9458 	| 0.0828 	| 0.4062
0 160 	| 1.6655 	| 2.3425 	| 0.0858 	| 0.25
0 161 	| 1.5877 	| 2.2426 	| 0.0596 	| 0.4375
0 162 	| 1.6949 	| 2.3906 	| 0.0717 	| 0.3125
0 163 	| 1.6392 	| 2.3075 	| 0.0796 	| 0.2188
0 164 	| 1.5362 	| 2.1678 	| 0.0626 	| 0.3125
0 165 	| 1.7033 	| 2.3884 	| 0.1048 	| 0.2812
0 166 	| 1.5793 	| 2.2093 	| 0.1093 	| 0.2812
0 167 	| 1.5465 	| 2.1699 	| 0.0918 	| 0.3125
0 168 	| 1.264 	| 1.7838 	| 0.0512 	| 0.3438
0 169 	| 1.5117 	| 2.1355 	| 0.0561 	| 0.3438
0 170 	| 1.5839 	| 2.238 	| 0.0578 	| 0.3125
0 171 	| 1.8835 	| 2.657 	| 0.0787 	| 0.2812
0 172 	| 1.4492 	| 2.0425 	| 0.0647 	| 0.2812
0 173 	| 1.1244 	| 1.5847 	| 0.0504 	| 0.4688
0 174 	| 1.5265 	| 2.1528 	| 0.065 	| 0.3438
0 175 	| 1.2825 	| 1.7961 	| 0.0842 	| 0.25
0 176 	| 1.3704 	| 1.9298 	| 0.0651 	| 0.375
0 177 	| 1.5113 	| 2.1323 	| 0.0622 	| 0.25
0 178 	| 1.4611 	| 2.0679 	| 0.0452 	| 0.3125
0 179 	| 1.4642 	| 2.0584 	| 0.0777 	| 0.4062
0 180 	| 1.2763 	| 1.8024 	| 0.0488 	| 0.3438
0 181 	| 1.3192 	| 1.8559 	| 0.0667 	| 0.4688
0 182 	| 1.3213 	| 1.8585 	| 0.0679 	| 0.4375
0 183 	| 1.1894 	| 1.6751 	| 0.0563 	| 0.375
0 184 	| 1.4518 	| 2.043 	| 0.0722 	| 0.25
0 185 	| 1.2083 	| 1.7072 	| 0.0443 	| 0.5
0 186 	| 1.2309 	| 1.736 	| 0.0522 	| 0.5312
0 187 	| 1.6441 	| 2.3266 	| 0.0516 	| 0.4375
0 188 	| 1.5351 	| 2.1711 	| 0.0509 	| 0.25
0 189 	| 1.2742 	| 1.793 	| 0.0637 	| 0.5
0 190 	| 1.135 	| 1.6053 	| 0.0378 	| 0.5312
0 191 	| 1.341 	| 1.8962 	| 0.0457 	| 0.375
0 192 	| 1.7387 	| 2.4382 	| 0.1063 	| 0.25
0 193 	| 1.1332 	| 1.5983 	| 0.048 	| 0.5
0 194 	| 1.2302 	| 1.7351 	| 0.0522 	| 0.4062
0 195 	| 1.3074 	| 1.8344 	| 0.0776 	| 0.4688
0 196 	| 1.3712 	| 1.9304 	| 0.0663 	| 0.375
0 197 	| 1.5499 	| 2.1878 	| 0.0615 	| 0.3125
0 198 	| 1.4035 	| 1.9761 	| 0.0676 	| 0.2188
0 199 	| 1.7336 	| 2.4353 	| 0.0963 	| 0.25
0 200 	| 1.3372 	| 1.878 	| 0.0753 	| 0.25
0 201 	| 1.7278 	| 2.4281 	| 0.0936 	| 0.1562
0 202 	| 1.4138 	| 2.0021 	| 0.0413 	| 0.3438
0 203 	| 1.3674 	| 1.9139 	| 0.0922 	| 0.2812
0 204 	| 1.3841 	| 1.9479 	| 0.0686 	| 0.2812
0 205 	| 1.5949 	| 2.2537 	| 0.0579 	| 0.25
0 206 	| 1.2283 	| 1.7371 	| 0.041 	| 0.5312
0 207 	| 1.351 	| 1.8889 	| 0.0958 	| 0.3438
0 208 	| 1.4566 	| 2.0403 	| 0.0945 	| 0.2188
0 209 	| 1.4991 	| 2.0905 	| 0.1189 	| 0.2812
0 210 	| 1.4395 	| 2.0128 	| 0.102 	| 0.4062
0 211 	| 1.6921 	| 2.3597 	| 0.1344 	| 0.2812
0 212 	| 1.1811 	| 1.6484 	| 0.0906 	| 0.375
0 213 	| 1.269 	| 1.7678 	| 0.1051 	| 0.3125
0 214 	| 1.3286 	| 1.8449 	| 0.1238 	| 0.3438
0 215 	| 1.4055 	| 1.9646 	| 0.101 	| 0.375
0 216 	| 1.3894 	| 1.9523 	| 0.076 	| 0.375
0 217 	| 1.5381 	| 2.1514 	| 0.1072 	| 0.2812
0 218 	| 1.2692 	| 1.7783 	| 0.0812 	| 0.3125
0 219 	| 1.2873 	| 1.8146 	| 0.057 	| 0.4062
0 220 	| 1.3044 	| 1.8327 	| 0.0717 	| 0.4688
0 221 	| 1.1885 	| 1.6585 	| 0.0917 	| 0.5
0 222 	| 1.7281 	| 2.4351 	| 0.0784 	| 0.2188
0 223 	| 1.2921 	| 1.8221 	| 0.0555 	| 0.2812
0 224 	| 1.454 	| 2.046 	| 0.0726 	| 0.3438
0 225 	| 1.3197 	| 1.8707 	| 0.0342 	| 0.5312
0 226 	| 1.3488 	| 1.9022 	| 0.0576 	| 0.375
0 227 	| 1.4643 	| 2.0534 	| 0.0897 	| 0.2812
0 228 	| 1.2988 	| 1.8338 	| 0.0502 	| 0.4062
0 229 	| 1.3529 	| 1.8999 	| 0.0764 	| 0.375
0 230 	| 1.4896 	| 2.0933 	| 0.0808 	| 0.3438
0 231 	| 1.297 	| 1.8379 	| 0.0349 	| 0.3438
0 232 	| 1.4661 	| 2.0645 	| 0.07 	| 0.3125
0 233 	| 1.4708 	| 2.0719 	| 0.0683 	| 0.25
0 234 	| 1.3788 	| 1.9511 	| 0.0434 	| 0.375
0 235 	| 1.6016 	| 2.2574 	| 0.0713 	| 0.25
0 236 	| 1.7827 	| 2.5122 	| 0.0806 	| 0.2188
0 237 	| 1.2664 	| 1.7762 	| 0.0768 	| 0.375
0 238 	| 1.3463 	| 1.896 	| 0.0637 	| 0.375
0 239 	| 1.3852 	| 1.9577 	| 0.0493 	| 0.3125
0 240 	| 1.3124 	| 1.8467 	| 0.0659 	| 0.375
0 241 	| 1.5132 	| 2.1252 	| 0.0852 	| 0.3125
0 242 	| 1.6479 	| 2.3221 	| 0.0748 	| 0.25
0 243 	| 1.1579 	| 1.6365 	| 0.0412 	| 0.4062
0 244 	| 1.7416 	| 2.4472 	| 0.0952 	| 0.0938
0 245 	| 1.4246 	| 2.01 	| 0.0586 	| 0.2812
0 246 	| 1.3674 	| 1.9191 	| 0.08 	| 0.3438
0 247 	| 1.4443 	| 2.0228 	| 0.0945 	| 0.3125
0 248 	| 1.472 	| 2.0683 	| 0.0805 	| 0.3125

Epoch:  20%|█████████████████████▏                                                                                    | 1/5 [02:11<08:47, 131.76s/it]
Val mae km: 5309.9589518829125  | Mean val loss: 1.3533975914601357
1 0 	| 1.5042 	| 2.1246 	| 0.0566 	| 0.4375
1 1 	| 1.5838 	| 2.2243 	| 0.0892 	| 0.3125
1 2 	| 1.5732 	| 2.2054 	| 0.098 	| 0.2188
1 3 	| 1.2767 	| 1.7859 	| 0.0884 	| 0.4375
1 4 	| 1.2194 	| 1.7167 	| 0.0589 	| 0.4375
1 5 	| 1.4339 	| 2.009 	| 0.0919 	| 0.25
1 6 	| 1.4081 	| 1.9614 	| 0.117 	| 0.2812
1 7 	| 1.135 	| 1.5981 	| 0.0543 	| 0.5312
1 8 	| 1.4734 	| 2.0634 	| 0.0967 	| 0.3438
1 9 	| 1.6047 	| 2.2637 	| 0.0669 	| 0.2812
1 10 	| 1.2461 	| 1.7501 	| 0.0701 	| 0.3438
1 11 	| 1.0996 	| 1.5393 	| 0.0739 	| 0.4688
1 12 	| 1.3609 	| 1.9063 	| 0.0883 	| 0.3125
1 13 	| 1.324 	| 1.877 	| 0.0336 	| 0.4062
1 14 	| 1.78 	| 2.5146 	| 0.0658 	| 0.3125
1 15 	| 1.1597 	| 1.6352 	| 0.0502 	| 0.5625
1 16 	| 1.2077 	| 1.6952 	| 0.0701 	| 0.375
1 17 	| 1.255 	| 1.7722 	| 0.0481 	| 0.4062
1 18 	| 1.4894 	| 2.1076 	| 0.0469 	| 0.2188
1 19 	| 1.7045 	| 2.402 	| 0.0771 	| 0.2188
1 20 	| 1.3818 	| 1.9446 	| 0.0686 	| 0.3438
1 21 	| 1.5308 	| 2.1637 	| 0.0541 	| 0.375
1 22 	| 1.2899 	| 1.8187 	| 0.0561 	| 0.4062
1 23 	| 1.3842 	| 1.9571 	| 0.0476 	| 0.4375
1 24 	| 1.3391 	| 1.8783 	| 0.081 	| 0.375
1 25 	| 1.3203 	| 1.8527 	| 0.078 	| 0.375
1 26 	| 1.2782 	| 1.7973 	| 0.067 	| 0.4375
1 27 	| 1.1119 	| 1.5545 	| 0.0792 	| 0.4062
1 28 	| 1.6298 	| 2.2856 	| 0.0995 	| 0.2188
1 29 	| 1.3137 	| 1.8555 	| 0.0496 	| 0.3125
1 30 	| 1.1045 	| 1.5582 	| 0.0461 	| 0.5312
1 31 	| 1.3965 	| 1.9753 	| 0.0461 	| 0.4375
1 32 	| 1.2173 	| 1.708 	| 0.0723 	| 0.4062
1 33 	| 1.4236 	| 2.0093 	| 0.0569 	| 0.375
1 34 	| 1.2952 	| 1.812 	| 0.0892 	| 0.4062
1 35 	| 1.5468 	| 2.1584 	| 0.1198 	| 0.25
1 36 	| 1.2887 	| 1.8206 	| 0.0477 	| 0.4688
1 37 	| 1.5538 	| 2.1726 	| 0.11 	| 0.3438
1 38 	| 1.1942 	| 1.6785 	| 0.0642 	| 0.4062
1 39 	| 1.4399 	| 2.001 	| 0.1306 	| 0.25
1 40 	| 1.2499 	| 1.7568 	| 0.0672 	| 0.3125
1 41 	| 1.1858 	| 1.6542 	| 0.0926 	| 0.5312
1 42 	| 1.2734 	| 1.7991 	| 0.0466 	| 0.375
1 43 	| 1.4 	| 1.9679 	| 0.0746 	| 0.3438
1 44 	| 1.3887 	| 1.9557 	| 0.0657 	| 0.3438
1 45 	| 1.4416 	| 2.0168 	| 0.0993 	| 0.2812
1 46 	| 1.5023 	| 2.1097 	| 0.0849 	| 0.25
1 47 	| 1.2689 	| 1.78 	| 0.0762 	| 0.4062
1 48 	| 1.3684 	| 1.9069 	| 0.1118 	| 0.3125
1 49 	| 1.2972 	| 1.8078 	| 0.1057 	| 0.3438
1 50 	| 1.1625 	| 1.6275 	| 0.0773 	| 0.4688
1 51 	| 1.2818 	| 1.7995 	| 0.0739 	| 0.3125
1 52 	| 1.4498 	| 2.0376 	| 0.0783 	| 0.3438
1 53 	| 1.4947 	| 2.1059 	| 0.0687 	| 0.2812
1 54 	| 1.2732 	| 1.7808 	| 0.0888 	| 0.4062
1 55 	| 1.3777 	| 1.932 	| 0.0843 	| 0.375
1 56 	| 1.4323 	| 2.0047 	| 0.0967 	| 0.375
1 57 	| 1.1363 	| 1.5857 	| 0.0878 	| 0.3438
1 58 	| 1.5005 	| 2.1089 	| 0.081 	| 0.2812
1 59 	| 1.6728 	| 2.3529 	| 0.0858 	| 0.2812
1 60 	| 1.8406 	| 2.6047 	| 0.0578 	| 0.3438
1 61 	| 1.422 	| 2.0009 	| 0.0712 	| 0.3438
1 62 	| 1.635 	| 2.3031 	| 0.0759 	| 0.2812
1 63 	| 1.4313 	| 2.0106 	| 0.0796 	| 0.4062
1 64 	| 1.4989 	| 2.1113 	| 0.07 	| 0.3125
1 65 	| 1.5864 	| 2.2418 	| 0.0571 	| 0.3438
1 66 	| 1.3896 	| 1.9418 	| 0.101 	| 0.25
1 67 	| 1.4312 	| 2.0243 	| 0.0473 	| 0.2812
1 68 	| 1.5105 	| 2.1302 	| 0.0645 	| 0.375
1 69 	| 1.492 	| 2.106 	| 0.0594 	| 0.3125
1 70 	| 1.401 	| 1.9795 	| 0.0509 	| 0.3125
1 71 	| 1.2746 	| 1.7921 	| 0.0669 	| 0.4375
1 72 	| 1.2934 	| 1.8137 	| 0.0794 	| 0.375
1 73 	| 1.4159 	| 2.0053 	| 0.0407 	| 0.3438
1 74 	| 1.3685 	| 1.9334 	| 0.0506 	| 0.375
1 75 	| 1.6323 	| 2.2929 	| 0.0908 	| 0.1875
1 76 	| 1.2585 	| 1.784 	| 0.0324 	| 0.3125
1 77 	| 1.5181 	| 2.1286 	| 0.0935 	| 0.25
1 78 	| 1.3242 	| 1.8711 	| 0.0481 	| 0.4062
1 79 	| 1.5894 	| 2.2444 	| 0.061 	| 0.2812
1 80 	| 1.5784 	| 2.229 	| 0.0605 	| 0.2812
1 81 	| 1.2284 	| 1.7318 	| 0.0538 	| 0.4688
1 82 	| 1.3595 	| 1.9151 	| 0.0632 	| 0.4062
1 83 	| 1.2813 	| 1.8121 	| 0.0428 	| 0.375
1 84 	| 1.2773 	| 1.802 	| 0.0529 	| 0.3125
1 85 	| 1.5826 	| 2.2305 	| 0.0706 	| 0.2812
1 86 	| 1.6145 	| 2.2701 	| 0.0848 	| 0.3125
1 87 	| 1.3734 	| 1.9369 	| 0.0586 	| 0.2188
1 88 	| 1.5359 	| 2.1646 	| 0.069 	| 0.25
1 89 	| 1.4019 	| 1.9553 	| 0.1105 	| 0.1875
1 90 	| 1.398 	| 1.97 	| 0.0635 	| 0.25
1 91 	| 1.5687 	| 2.2078 	| 0.0775 	| 0.2188
1 92 	| 1.6713 	| 2.3518 	| 0.0833 	| 0.2812
1 93 	| 1.4596 	| 2.0675 	| 0.0412 	| 0.3438
